Are you sure you want to relax end points while keeping the intermediate inages from your traj?
      Step     Time          Energy          fmax
BFGS:   14 17:46:43     -225.882388        0.093501
BFGS:   15 17:46:43     -225.882983        0.127939
BFGS:   16 17:46:43     -225.883436        0.092734
BFGS:   17 17:46:43     -225.883685        0.039916
   0.155506
BFGS:   19 17:42:49     -772.922614        0.078016
BFGS:   20 17:42:49     -772.923155        0.051778
BFGS:   21 17:42:49     -772.923781        0.096738
BFGS:   22 17:42:49     -772.925129        0.165543
BFGS:   23 17:42:50     -772.927512        0.232111
BFGS:   24 17:42:50     -772.930110        0.257707
BFGS:   25 17:42:50     -772.931773        0.103538
BFGS:   26 17:42:50     -772.932952        0.085708
BFGS:   27 17:42:50     -772.933842        0.130615
BFGS:   28 17:42:50     -772.935084        0.185201
BFGS:   29 17:42:50     -772.936604        0.178424
BFGS:   30 17:42:50     -772.938092        0.137031
BFGS:   31 17:42:51     -772.939568        0.170621
BFGS:   32 17:42:51     -772.941241        0.317127
BFGS:   33 17:42:51     -772.943762        0.227344
BFGS:   34 17:42:51     -772.945862        0.247973
BFGS:   35 17:42:51     -772.949423        0.239029
BFGS:   36 17:42:51     -772.950278        0.211358
BFGS:   37 17:42:51     -772.954165        0.092626
BFGS:   38 17:42:51     -772.957602        0.122006
BFGS:   39 17:42:51     -772.957442        0.586356
BFGS:   40 17:42:52     -772.961846        0.158289
BFGS:   41 17:42:52     -772.963559        0.129439
BFGS:   42 17:42:52     -772.967089        0.305420
BFGS:   43 17:42:52     -772.970643        0.056045
BFGS:   44 17:42:52     -772.972992        0.128846
BFGS:   45 17:42:52     -772.975642        0.147673
BFGS:   46 17:42:52     -772.976277        0.077374
BFGS:   47 17:42:52     -772.977448        0.126508
BFGS:   48 17:42:52     -772.978894        0.249101
BFGS:   49 17:42:53     -772.981152        0.313525
BFGS:   50 17:42:53     -772.983079        0.231394
BFGS:   51 17:42:53     -772.984061        0.101248
BFGS:   52 17:42:53     -772.984326        0.059434
BFGS:   53 17:42:53     -772.984707        0.058568
BFGS:   54 17:42:53     -772.985392        0.088426
BFGS:   55 17:42:53     -772.986249        0.092185
BFGS:   56 17:42:54     -772.986889        0.079509
BFGS:   57 17:42:54     -772.987269        0.067798
BFGS:   58 17:42:54     -772.987568        0.080700
BFGS:   59 17:42:54     -772.987870        0.102416
BFGS:   60 17:42:54     -772.988347        0.096073
BFGS:   61 17:42:54     -772.988776        0.098517
BFGS:   62 17:42:54     -772.989007        0.039121
